Nome,Código,Peso,Velocidade,Comprimento,Longevidade,Curiosidade1,Curiosidade2,Curiosidade3,SuperTrunfo
Águia real,1A,7,320,1,32,Nome científico: Aquila chrysaetos,Não há,Não há,false
Águia de cabeça branca,1B,5,160,2,20,Nome científico: Haliaeetus leucocephalus,Não há,Não há,false
Águia harpia,1C,7,250,2,30,Nome científico: Harpia harpyja,Não há,Não há,false
Águia de Verreaux,1D,5,100,0.8,20,Nome científico: Aquila Verreauxii,Não há,Não há,false
Leão africano,2A,160,80,2,20,Nome científico: Panthera leo,Não há,Não há,true
Jaguar,2B,90,80,1.8,20,Nome científico: Panthera onca,Não há,Não há,false
Puma,2C,70,75,1.5,8,Nome científico: Puma concolor,Não há,Não há,false
Guepardo,2D,60,90,1.4,12,Nome científico: Acinonyx jubatus,Não há,Não há,false
Jararaca da mata,3A,2,11,1.45,15,Nome científico: Bothrops jararaca,Não há,Não há,false
Cascavel,3B,1,13,1.4,20,Nome científico: Crotalus durissus,Não há,Não há,false
Coral,3C,1,10,1,18,Nome científico: Micrurus altirostris,Não há,Não há,false
Surucucu,3D,4,10,2.5,20,Nome científico: Lachesis muta,Não há,Não há,false
Tubarão branco,4A,650,56,3.6,70,Nome científico: Carcharodon carcharias,Não há,Não há,false
Tubarão tigre,4B,700,55,6,50,Nome científico: Galeocerdo cuvier,Não há,Não há,false
Tubarão martelo,4C,480,45,4.2,25,Nome científico: Sphyrna mokarran,Não há,Não há,false
Tubarão azul,4D,130,28,2.8,20,Nome científico: Prionace glauca,Não há,Não há,false
Lobo cinzento,5A,70,55,1.5,15,Nome científico: Canis lupus,Não há,Não há,false
Lobo do ártico,5B,45,40,1.5,9,Nome científico: Canis lupus arctos,Não há,Não há,false
Lobo ocidental,5C,60,55,0.8,13,Nome científico: Canis lupus occidentalis,Não há,Não há,false
Lobo vermelho,5D,35,45,1.2,13,Nome científico: Canis rufus,Não há,Não há,false
Tigre de bengala,6A,190,60,2.8,14,Nome científico: Panthera tigris tigris,Não há,Não há,false
Tigre siberiano,6B,215,80,2.9,20,Nome científico: Panthera tigris altaica,Não há,Não há,false
Tigre de sumatra,6C,110,85,2.3,15,Nome científico: Panthera tigris sumatrae,Não há,Não há,false
Tigre malaio,6D,110,85,2.4,12,Nome científico: Panthera tigris jacksoni,Não há,Não há,false
Baleia azul,7A,140000,50,23,85,Nome científico: Balaenoptera musculus,Não há,Não há,false
Baleia cachalote,7B,30000,32,18,70,Nome científico: Physeter macrocephalus,Não há,Não há,false
Baleia jubarte,7C,27000,27,15,48,Nome científico: Megaptera novaeangliae,Não há,Não há,false
Baleia orca,7D,4,56,7,70,Nome científico: Orcinus orca,Não há,Não há,false
Elefante da savana,8A,5000,40,7,65,Nome científico: Loxodonta africana,Não há,Não há,false
Búfalo africano,8B,500,80,2.5,15,Nome científico: Syncerus caffer,Não há,Não há,false
Girafa,8C,1300,60,4.2,30,Nome científico: Giraffa,Não há,Não há,false
Rinoceronte branco,8D,2,50,3.7,45,Nome científico: Ceratotherium simum,Não há,Não há,false
